lsl_timestamp,TP9 (microvolts),AF7 (microvolts),AF8 (microvolts),TP10 (microvolts),Right AUX (microvolts)
1770416422.0963328,1.46484375,58.59375,-37.59765625,-16.6015625,23.4375
1770416422.1002386,24.90234375,51.7578125,-21.484375,-2.9296875,12.6953125
1770416422.1041443,38.0859375,47.8515625,-7.8125,24.90234375,72.75390625
1770416422.10805,44.43359375,37.59765625,-5.859375,40.0390625,17.578125
1770416422.111956,59.08203125,22.94921875,-17.578125,42.48046875,-17.08984375
1770416422.1158617,59.08203125,9.765625,-0.9765625,53.22265625,20.99609375
1770416422.1197674,65.91796875,2.44140625,25.87890625,73.2421875,28.80859375
1770416422.1236732,77.63671875,4.39453125,-48.33984375,86.42578125,28.80859375
1770416422.12758,76.66015625,-1.46484375,-75.68359375,88.8671875,48.828125
1770416422.1314857,75.68359375,-14.16015625,43.9453125,94.7265625,62.5
1770416422.1353915,83.49609375,-6.34765625,44.43359375,96.6796875,21.484375
1770416422.1392972,88.8671875,-3.41796875,8.7890625,94.23828125,3.90625
1770416422.143203,89.84375,-15.13671875,9.765625,96.6796875,36.1328125
1770416422.1471088,85.9375,-20.5078125,-21.97265625,102.5390625,54.6875
1770416422.1510146,89.84375,-20.01953125,12.6953125,95.21484375,37.109375
1770416422.1549203,90.33203125,-31.25,-42.48046875,97.16796875,9.27734375
1770416422.158826,91.796875,-32.2265625,-67.3828125,115.234375,17.08984375
1770416422.162732,88.37890625,-15.13671875,48.33984375,119.62890625,-27.83203125
1770416422.1666377,88.37890625,-10.7421875,32.2265625,114.2578125,-42.48046875
1770416422.1705434,98.6328125,-13.671875,6.8359375,111.81640625,14.6484375
1770416422.1744497,95.703125,-20.99609375,8.7890625,100.09765625,29.296875
1770416422.1783555,91.30859375,-21.484375,13.671875,94.7265625,20.99609375
1770416422.1822612,94.7265625,-16.6015625,9.765625,92.7734375,65.4296875
1770416422.186167,85.44921875,-20.99609375,-19.04296875,85.44921875,71.2890625
1770416422.1900728,83.0078125,-19.53125,-16.6015625,89.35546875,24.90234375
1770416422.1939785,89.35546875,-13.18359375,-31.25,89.84375,34.1796875
1770416422.1978843,88.37890625,-16.11328125,-8.7890625,87.40234375,27.34375
1770416422.20179,88.8671875,-23.4375,28.80859375,89.84375,9.27734375
1770416422.2056959,84.9609375,-29.78515625,10.25390625,89.35546875,36.1328125
1770416422.2096016,84.9609375,-23.92578125,31.73828125,96.6796875,84.47265625
1770416422.2135074,88.8671875,-14.6484375,-6.34765625,99.12109375,113.76953125
1770416422.2174132,87.890625,-17.08984375,-71.2890625,90.33203125,69.82421875
1770416422.2213197,80.56640625,-8.30078125,18.5546875,94.23828125,53.7109375
1770416422.2252254,88.8671875,0.0,19.53125,93.75,33.69140625
1770416422.2291312,100.5859375,-7.8125,28.80859375,92.28515625,60.546875
1770416422.233037,97.16796875,-14.6484375,45.41015625,92.7734375,85.44921875
1770416422.2369428,88.8671875,-11.23046875,-9.765625,82.03125,1.46484375
1770416422.2408485,74.70703125,-6.34765625,-31.25,78.61328125,8.30078125
1770416422.2447543,72.75390625,-4.39453125,-61.5234375,82.51953125,37.59765625
1770416422.24866,78.125,-4.8828125,-6.8359375,83.49609375,20.01953125
1770416422.2525659,82.51953125,-4.8828125,67.87109375,84.47265625,20.99609375
1770416422.2564716,87.890625,1.953125,31.25,81.54296875,42.48046875
1770416422.2603774,88.37890625,5.37109375,14.16015625,77.63671875,33.69140625
1770416422.2642832,82.51953125,-1.953125,22.94921875,75.68359375,26.3671875
1770416422.2681892,75.1953125,-4.39453125,33.69140625,77.63671875,72.75390625
1770416422.272095,72.75390625,-6.8359375,-2.44140625,76.66015625,39.0625
1770416422.2760007,72.265625,-8.7890625,-30.76171875,70.3125,49.31640625
1770416422.2799065,71.77734375,-3.90625,3.41796875,62.01171875,81.54296875
1770416422.2838123,62.98828125,2.44140625,31.25,67.3828125,60.05859375
1770416422.287718,72.265625,7.8125,3.90625,79.1015625,37.109375
1770416422.2916238,79.58984375,11.71875,3.41796875,81.0546875,51.7578125
1770416422.2955296,73.2421875,6.8359375,39.0625,77.63671875,56.640625
1770416422.2994354,67.3828125,0.9765625,42.48046875,75.1953125,15.13671875
1770416422.3033412,64.94140625,-4.8828125,-20.5078125,69.82421875,-5.859375
1770416422.307247,81.54296875,-11.71875,-69.3359375,70.3125,35.15625
1770416422.3111527,69.82421875,1.953125,50.29296875,70.3125,91.30859375
1770416422.3150592,49.31640625,13.671875,76.171875,57.12890625,95.21484375
1770416422.318965,52.24609375,7.32421875,8.7890625,62.5,14.16015625
1770416422.3228707,53.7109375,-2.9296875,-5.37109375,63.4765625,-12.20703125
1770416422.3267765,63.96484375,4.8828125,1.953125,62.5,15.625
1770416422.3306823,67.3828125,16.11328125,20.5078125,63.96484375,14.16015625
1770416422.334588,62.5,9.27734375,-56.640625,46.38671875,36.1328125
1770416422.3384938,61.5234375,-4.8828125,-75.1953125,46.875,50.29296875
1770416422.3423996,53.7109375,5.859375,49.8046875,53.7109375,31.73828125
1770416422.3463054,53.7109375,25.390625,68.359375,52.24609375,17.578125
1770416422.350211,52.734375,24.90234375,35.15625,61.5234375,-12.6953125
1770416422.3541167,49.31640625,18.06640625,20.99609375,57.6171875,-8.30078125
1770416422.3580225,50.78125,14.6484375,21.484375,50.29296875,34.1796875
1770416422.3619297,52.24609375,14.6484375,9.765625,56.640625,13.671875
1770416422.3658354,56.15234375,9.765625,-7.8125,61.5234375,-20.99609375
1770416422.3697412,55.6640625,12.6953125,20.5078125,58.10546875,19.04296875
1770416422.3736467,50.29296875,20.5078125,13.671875,53.7109375,24.90234375
1770416422.3775525,45.8984375,17.578125,-1.953125,48.33984375,1.953125
1770416422.3814583,48.33984375,11.71875,-26.85546875,41.015625,19.53125
1770416422.385364,45.8984375,11.71875,-9.765625,46.875,35.64453125
1770416422.3892698,47.36328125,17.578125,22.4609375,38.57421875,30.2734375
1770416422.3931756,54.6875,18.5546875,-37.59765625,39.55078125,14.6484375
1770416422.3970814,46.38671875,11.23046875,-71.77734375,45.8984375,3.41796875
1770416422.4009871,37.59765625,15.13671875,24.4140625,41.015625,3.41796875
1770416422.404893,41.015625,19.53125,46.38671875,42.48046875,8.30078125
1770416422.4087994,42.96875,16.11328125,21.484375,42.48046875,25.87890625
1770416422.4127052,47.36328125,12.6953125,30.2734375,61.5234375,16.6015625
1770416422.416611,55.17578125,9.27734375,15.13671875,64.453125,-13.18359375
1770416422.4205167,55.6640625,16.6015625,15.625,49.8046875,20.99609375
1770416422.4244225,47.36328125,17.578125,-13.18359375,46.38671875,49.31640625
